date,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,cloud_cover,wind_speed_80m,wind_direction_80m,wind_gusts_10m,location
2026-04-27 22:00:00+00:00,6.8545003,64.0,0.0,1026.4218,52.0,11.753876,40.030197,10.08,Aalborg
2026-04-27 23:00:00+00:00,6.2545004,70.0,0.0,1026.6185,15.0,8.4963045,36.38445,8.64,Aalborg
2026-04-28 00:00:00+00:00,5.5545,76.0,0.0,1026.8147,64.0,9.47012,8.746089,14.4,Aalborg
2026-04-28 01:00:00+00:00,5.0545,80.0,0.0,1027.4114,4.0,12.015589,8.615564,16.919998,Aalborg
2026-04-28 02:00:00+00:00,4.7045,83.0,0.0,1027.7094,0.0,12.783802,9.727519,16.919998,Aalborg
2026-04-28 03:00:00+00:00,4.5045004,84.0,0.0,1028.1078,59.0,14.003029,17.969234,11.879999,Aalborg
2026-04-28 04:00:00+00:00,4.1545,85.0,0.0,1028.1058,14.0,12.303366,20.556128,10.440001,Aalborg
2026-04-28 05:00:00+00:00,4.1045003,84.0,0.0,1028.3055,50.0,10.483357,15.945477,11.159999,Aalborg
2026-04-28 06:00:00+00:00,5.4045,79.0,0.0,1028.8114,53.0,15.042659,21.037588,13.32,Aalborg
2026-04-28 07:00:00+00:00,7.3045,67.0,0.0,1029.2202,37.0,11.525623,38.65983,18.72,Aalborg
2026-04-28 08:00:00+00:00,9.1545,53.0,0.0,1029.5289,48.0,14.618837,52.001225,19.08,Aalborg
2026-04-28 09:00:00+00:00,10.554501,46.0,0.0,1029.8352,45.0,11.200571,44.999897,21.24,Aalborg
2026-04-28 10:00:00+00:00,11.9545,43.0,0.0,1029.8419,0.0,12.538134,39.173653,24.84,Aalborg
2026-04-28 11:00:00+00:00,13.4045,41.0,0.0,1029.7489,1.0,13.891522,31.218353,25.919998,Aalborg
2026-04-28 12:00:00+00:00,14.1545,40.0,0.0,1029.1533,31.0,10.931203,17.241547,25.199999,Aalborg
2026-04-28 13:00:00+00:00,15.6545,36.0,0.0,1029.0602,18.0,16.454008,349.91946,31.68,Aalborg
2026-04-28 14:00:00+00:00,15.804501,35.0,0.0,1028.9613,16.0,15.905319,354.80566,31.68,Aalborg
2026-04-28 15:00:00+00:00,15.5045,35.0,0.0,1028.4603,32.0,18.58451,328.46524,29.16,Aalborg
2026-04-28 16:00:00+00:00,14.9545,35.0,0.0,1028.4578,54.0,19.652176,331.55716,29.88,Aalborg
2026-04-28 17:00:00+00:00,13.3545,36.0,0.0,1028.4503,47.0,19.513195,330.12408,29.519999,Aalborg
